year,decade_code,title,director,writer,plot,clean_test,budget,domgross,intgross,budget_2013,domgross_2013,intgross_2013,metascore,imdb_rating,awards
2013,1,Carrie,Kimberly Peirce,"Lawrence D. Cohen (screenplay), Roberto Aguirre-Sacasa (screenplay), Stephen King (novel)","A reimagining of the classic horror tale about Carrie White, a shy girl outcast by her peers and sheltered by her deeply religious mother, who unleashes telekinetic terror on her small town after being pushed too far at her senior prom.",ok,30000000,35266619,85001659,30000000,35266619,85001659,53,6,1 win & 3 nominations.
2013,1,Cloudy with a Chance of Meatballs 2,"Cody Cameron, Kris Pearn","Erica Rivinoja (screenplay), John Francis Daley (screenplay), Jonathan M. Goldstein (screenplay), Phil Lord (story), Christopher Miller (story), Erica Rivinoja (story), Judi Barrett (characters), Ron Barrett (characters)",Flint Lockwood now works at The Live Corp Company for his idol Chester V. But he's forced to leave his post when he learns that his most infamous machine is still operational and is churning out menacing food-animal hybrids.,nowomen,78000000,119640264,271725448,78000000,119640264,271725448,59,6.5,8 nominations.
2013,1,Despicable Me 2,"Pierre Coffin, Chris Renaud","Cinco Paul, Ken Daurio",Gru is recruited by the Anti-Villain League to help deal with a powerful new super criminal.,ok,76000000,368065385,970766005,76000000,368065385,970766005,62,7.6,Nominated for 2 Oscars. Another 10 wins & 31 nominations.
2013,1,Don Jon,Joseph Gordon-Levitt,Joseph Gordon-Levitt,"A New Jersey guy dedicated to his family, friends, and church, develops unrealistic expectations from watching porn and works to find happiness and intimacy with his potential true love.",dubious,5500000,24477704,26377704,5500000,24477704,26377704,66,6.8,2 wins & 6 nominations.
2013,1,Elysium,Neill Blomkamp,Neill Blomkamp,"In the year 2154, the very wealthy live on a man-made space station while the rest of the population resides on a ruined Earth. A man takes on a mission that could bring equality to the polarized worlds.",ok,120000000,93050117,286192091,120000000,93050117,286192091,61,6.7,5 nominations.
2013,1,Ender&#39;s Game,NA,NA,NA,men,110000000,61737191,89737191,110000000,61737191,89737191,NA,NA,NA
2013,1,Epic,Chris Wedge,"James V. Hart (screenplay), William Joyce (screenplay), Daniel Shere (screenplay), Tom J. Astle (screenplay), Matt Ember (screenplay), William Joyce (story), James V. Hart (story), Chris Wedge (story), William Joyce (inspired by the book ""The Leaf Men and the Brave Good Bugs"")",A teenager finds herself transported to a deep forest setting where a battle between the forces of good and the forces of evil is taking place. She bands together with a rag-tag group of characters in order to save their world -- and ours.,ok,100000000,107518682,268418682,100000000,107518682,268418682,52,6.7,1 win & 15 nominations.
2013,1,Escape from Planet Earth,Cal Brunker,"Bob Barlen, Cal Brunker, Tony Leech (story), Cory Edwards (story)",Astronaut Scorch Supernova finds himself caught in a trap when he responds to an SOS from a notoriously dangerous alien planet.,ok,40000000,57012977,66454811,40000000,57012977,66454811,35,5.9,1 win.
2013,1,Escape Plan,Mikael Håfström,"Miles Chapman (screenplay), Jason Keller (screenplay), Miles Chapman (story)","When a structural-security authority finds himself set up and incarcerated in the world's most secret and secure prison, he has to use his skills to escape with help from the inside.",men,70000000,25213103,103813103,70000000,25213103,103813103,49,6.8,1 nomination.
2013,1,Evil Dead,Fede Alvarez,"Fede Alvarez (screenplay), Rodo Sayagues (screenplay), Sam Raimi (based on the motion picture ""The Evil Dead"",  written by)","Five friends head to a remote cabin, where the discovery of a Book of the Dead leads them to unwittingly summon up demons living in the nearby woods. The evil presence possesses them until only one is left to fight for survival.",ok,17000000,54239856,97402049,17000000,54239856,97402049,57,6.5,1 win & 4 nominations.
2013,1,Fast and Furious 6,NA,NA,NA,ok,160000000,238679850,788128122,160000000,238679850,788128122,NA,NA,NA
2013,1,Frozen,"Chris Buck, Jennifer Lee","Jennifer Lee (screenplay), Hans Christian Andersen (inspired by the story ""The Snow Queen"" by), Chris Buck (story), Jennifer Lee (story), Shane Morris (story), Dean Wellins (additional story)","Fearless optimist Anna teams up with Kristoff in an epic journey, encountering Everest-like conditions, and a hilarious snowman named Olaf in a race to find Anna's sister Elsa, whose icy powers have trapped the kingdom in eternal winter.",ok,150000000,393050114,1004550114,150000000,393050114,1004550114,74,7.9,Won 2 Oscars. Another 34 wins & 17 nominations.
2013,1,G.I. Joe: Retaliation,Jon M. Chu,"Rhett Reese, Paul Wernick",The G.I. Joes are not only fighting their mortal enemy Cobra; they are forced to contend with threats from within the government that jeopardize their very existence.,ok,140000000,122523060,371923060,140000000,122523060,371923060,41,5.9,9 nominations.
2013,1,Gangster Squad,Ruben Fleischer,"Will Beall, Paul Lieberman (book)","Los Angeles, 1949: A secret crew of police officers led by two determined sergeants work together in an effort to take down the ruthless mob king Mickey Cohen who runs the city.",notalk,60000000,46000903,104100903,60000000,46000903,104100903,40,6.8,1 win & 1 nomination.
2013,1,Gloria,Sebastián Lelio,"Sebastián Lelio (screenplay), Gonzalo Maza (screenplay)","A story set in Santiago and centered on Gloria, a free-spirited older woman, and the realities of her whirlwind relationship with a former naval officer whom she meets out in the clubs.",ok,30000000,4167493,4967493,30000000,4167493,4967493,83,7,7 wins & 9 nominations.
2013,1,Gravity,Alfonso Cuarón,"Alfonso Cuarón, Jonás Cuarón",A medical engineer and an astronaut work together to survive after an accident leaves them adrift in space.,nowomen,110000000,271814796,708714796,110000000,271814796,708714796,96,8.2,Won 7 Oscars. Another 104 wins & 75 nominations.
2013,1,Grown Ups 2,Dennis Dugan,"Fred Wolf, Adam Sandler, Tim Herlihy, Adam Sandler (based on characters created by), Fred Wolf (based on characters created by)","After moving his family back to his hometown to be with his friends and their kids, Lenny finds out that between old bullies, new bullies, schizo bus drivers, drunk cops on skis, and 400 costumed party crashers sometimes crazy follows you.",men,80000000,133668525,247023808,80000000,133668525,247023808,19,5.4,1 win & 11 nominations.
2013,1,Hansel &amp; Gretel: Witch Hunters,NA,NA,NA,ok,50000000,55703475,225703475,50000000,55703475,225703475,NA,NA,NA
2013,1,Her,Spike Jonze,Spike Jonze,A lonely writer develops an unlikely relationship with his newly purchased operating system that's designed to meet his every need.,men,23000000,25000178,33029713,23000000,25000178,33029713,90,8.3,Won 1 Oscar. Another 42 wins & 58 nominations.
2013,1,Identity Thief,Seth Gordon,"Craig Mazin (screenplay), Jerry Eeten (story), Craig Mazin (story)",Mild-mannered businessman Sandy Patterson travels from Denver to Florida to confront the deceptively harmless-looking woman who has been living it up after stealing Sandy's identity.,men,35000000,134506920,176269721,35000000,134506920,176269721,35,5.7,1 win & 7 nominations.
2013,1,Insidious: Chapter 2,James Wan,"Leigh Whannell (based on characters created by), James Wan (story), Leigh Whannell (story), Leigh Whannell (screenplay)",The haunted Lambert family seeks to uncover the mysterious childhood secret that has left them dangerously connected to the spirit world.,men,5000000,83586447,161911222,5000000,83586447,161911222,40,6.7,1 win & 4 nominations.
2013,1,Iron Man 3,Shane Black,"Drew Pearce (screenplay), Shane Black (screenplay), Stan Lee (based on the Marvel comic book by), Don Heck (based on the Marvel comic book by), Larry Lieber (based on the Marvel comic book by), Jack Kirby (based on the Marvel comic book by), Warren Ellis (based on the ""Extremis"" mini-series written by), Adi Granov (based on the ""Extremis"" mini-series illustrated by)","When Tony Stark's world is torn apart by a formidable terrorist called the Mandarin, he starts an odyssey of rebuilding and retribution.",dubious,200000000,408992272,1212692272,200000000,408992272,1212692272,62,7.4,Nominated for 1 Oscar. Another 12 wins & 35 nominations.
2013,1,Jack the Giant Slayer,Bryan Singer,"Darren Lemke (screenplay), Christopher McQuarrie (screenplay), Dan Studney (screenplay), Darren Lemke (story), David Dobkin (story)","The ancient war between humans and a race of giants is reignited when Jack, a young farmhand fighting for a kingdom and the love of a princess, opens a gateway between the two worlds.",nowomen,195000000,65187603,197387603,195000000,65187603,197387603,51,6.3,2 wins & 3 nominations.
2013,1,Kick-Ass 2,Jeff Wadlow,"Jeff Wadlow (screenplay), Mark Millar (comic book), John Romita Jr. (comic book)","The costumed high-school hero Kick-Ass joins with a group of normal citizens who have been inspired to fight crime in costume. Meanwhile, the Red Mist plots an act of revenge that will affect everyone Kick-Ass knows.",ok,28000000,28795985,60839197,28000000,28795985,60839197,41,6.8,1 win.
2013,1,Last Vegas,Jon Turteltaub,Dan Fogelman,Three sixty-something friends take a break from their day-to-day lives to throw a bachelor party in Las Vegas for their last remaining single pal.,notalk,28000000,63914167,112914167,28000000,63914167,112914167,48,6.7,N/A
2013,1,Lee Daniels&#39; The Butler,NA,NA,NA,ok,30000000,116632095,151513429,30000000,116632095,151513429,NA,NA,NA
2013,1,Machete Kills,Robert Rodriguez,"Kyle Ward (screenplay), Robert Rodriguez (story), Marcel Rodriguez (story)",The U.S. government recruits Machete to battle his way through Mexico in order to take down an arms dealer who looks to launch a weapon into space.,ok,2000000,8008161,9408161,2000000,8008161,9408161,41,5.8,1 nomination.
2013,1,Mama,Andrés Muschietti,"Andrés Muschietti (story), Barbara Muschietti (story), Neil Cross (screenplay), Andrés Muschietti (screenplay), Barbara Muschietti (screenplay)",Annabel and Lucas are faced with the challenge of raising his young nieces that were left alone in the forest for 5 years.... but how alone were they?,ok,15000000,71628180,148041253,15000000,71628180,148041253,57,6.3,11 wins & 11 nominations.
2013,1,Man of Steel,Zack Snyder,"David S. Goyer (screenplay), David S. Goyer (story), Christopher Nolan (story), Jerry Siegel (Superman created by), Joe Shuster (Superman created by)",A young itinerant worker is forced to confront his secret extrastellar origin when Earth is invaded by members of his own race.,ok,225000000,291045518,687999518,225000000,291045518,687999518,55,7.4,4 wins & 16 nominations.
2013,1,Nebraska,Alexander Payne,Bob Nelson,"An aging, booze-addled father makes the trip from Montana to Nebraska with his estranged son in order to claim a million-dollar Mega Sweepstakes Marketing prize.",ok,12000000,17482517,17482517,12000000,17482517,17482517,86,7.9,Nominated for 6 Oscars. Another 26 wins & 61 nominations.
2013,1,Now You See Me,Louis Leterrier,"Ed Solomon (screenplay), Boaz Yakin (screenplay), Edward Ricourt (screenplay), Boaz Yakin (story), Edward Ricourt (story)",An FBI agent and an Interpol detective track a team of illusionists who pull off bank heists during their performances and reward their audiences with the money.,notalk,75000000,117723989,351723989,75000000,117723989,351723989,50,7.3,1 win & 3 nominations.
2013,1,Oblivion,Joseph Kosinski,"Karl Gajdusek (screenplay), Michael Arndt (screenplay), Joseph Kosinski (graphic novel original story)",A veteran assigned to extract Earth's remaining resources begins to question what he knows about his mission and himself.,men,120000000,89107235,287537983,120000000,89107235,287537983,54,7,8 nominations.
2013,1,Olympus Has Fallen,Antoine Fuqua,"Creighton Rothenberger, Katrin Benedikt","Disgraced former Presidential guard Mike Banning finds himself trapped inside the White House in the wake of a terrorist attack; using his inside knowledge, Banning works with national security to rescue the President from his kidnappers.",notalk,70000000,98927592,150562164,70000000,98927592,150562164,41,6.5,2 nominations.
2013,1,Oz the Great and Powerful,Sam Raimi,"Mitchell Kapner (screenplay), David Lindsay-Abaire (screenplay), Mitchell Kapner (screen story), L. Frank Baum (""Oz"" works)",A small-time magician is swept away to an enchanted land and is forced into a power struggle between three witches.,ok,200000000,234770996,489570996,200000000,234770996,489570996,44,6.4,3 wins & 24 nominations.
2013,1,Pacific Rim,Guillermo del Toro,"Travis Beacham (screenplay), Guillermo del Toro (screenplay), Travis Beacham (story)","As a war between humankind and monstrous sea creatures wages on, a former pilot and a trainee are paired up to drive a seemingly obsolete special weapon in a desperate effort to save the world from the apocalypse.",notalk,190000000,101802906,411002906,190000000,101802906,411002906,64,7.1,Nominated for 1 BAFTA Film Award. Another 6 wins & 14 nominations.
2013,1,Pain &amp; Gain,NA,NA,NA,notalk,26000000,49875291,81275291,26000000,49875291,81275291,NA,NA,NA
2013,1,Parker,Taylor Hackford,"John J. McLaughlin (screenplay), Donald E. Westlake (novel)","A thief with a unique code of professional ethics is double-crossed by his crew and left for dead. Assuming a new disguise and forming an unlikely alliance with a woman on the inside, he looks to hijack the score of the crew's latest heist.",ok,35000000,17616641,46346651,35000000,17616641,46346651,43,6.2,N/A
2013,1,Peeples,Tina Gordon Chism,Tina Gordon Chism,Sparks fly when Wade Walker crashes the Peeples annual reunion in the Hamptons to ask for their precious daughter Grace's hand in marriage.,dubious,15000000,9177065,9177065,15000000,9177065,9177065,52,5,5 nominations.
2013,1,Percy Jackson: Sea of Monsters,Thor Freudenthal,"Marc Guggenheim (screenplay), Rick Riordan (based upon the novel ""Percy Jackson and the Olympians: The Sea of Monsters"" written by)","In order to restore their dying safe haven, the son of Poseidon and his friends embark on a quest to the Sea of Monsters to find the mythical Golden Fleece while trying to stop an ancient evil from rising.",ok,90000000,68559554,200859554,90000000,68559554,200859554,39,6,1 win & 3 nominations.
2013,1,Prisoners,Denis Villeneuve,Aaron Guzikowski,"When Keller Dover's daughter and her friend go missing, he takes matters into his own hands as the police pursue multiple leads and the pressure mounts. But just how far will this desperate father go to protect his family?",ok,46000000,61002302,113402302,46000000,61002302,113402302,74,8.1,Nominated for 1 Oscar. Another 5 wins & 15 nominations.
2013,1,R.I.P.D.,Robert Schwentke,"Phil Hay (screenplay), Matt Manfredi (screenplay), David Dobkin (story), Phil Hay (story), Matt Manfredi (story), Peter M. Lenkov (Dark Horse comic)",A recently slain cop joins a team of undead police officers working for the Rest in Peace Department and tries to find the man who murdered him.,notalk,130000000,33618855,79019947,130000000,33618855,79019947,25,5.6,N/A
2013,1,Red 2,NA,NA,NA,ok,84000000,53262560,137162560,84000000,53262560,137162560,NA,NA,NA
2013,1,Riddick,David Twohy,"David Twohy, Jim Wheat (based on characters created by), Ken Wheat (based on characters created by)","Left for dead on a sun-scorched planet, Riddick finds himself up against an alien race of predators. Activating an emergency beacon alerts two ships: one carrying a new breed of mercenary, the other captained by a man from Riddick's past.",notalk,38000000,42025135,92425135,38000000,42025135,92425135,49,6.4,1 nomination.
2013,1,Runner Runner,Brad Furman,"Brian Koppelman, David Levien","When a poor college student who cracks an online poker game goes bust, he arranges a face-to-face with the man he thinks cheated him, a sly offshore entrepreneur.",nowomen,30000000,19316646,62616646,30000000,19316646,62616646,36,5.6,N/A
2013,1,Rush,Ron Howard,Peter Morgan,The merciless 1970s rivalry between Formula One rivals James Hunt and Niki Lauda.,notalk,38000000,26947624,43047624,38000000,26947624,43047624,75,8.3,Nominated for 2 Golden Globes. Another 4 wins & 33 nominations.
2013,1,Safe Haven,Lasse Hallström,"Dana Stevens (screenplay), Gage Lansky (screenplay), Nicholas Sparks (based upon the novel by)","A young woman with a mysterious past lands in Southport, North Carolina where her bond with a widower forces her to confront the dark secret that haunts her.",ok,28000000,71399120,93943623,28000000,71399120,93943623,34,6.7,2 wins & 6 nominations.
2013,1,Saving Mr. Banks,John Lee Hancock,"Kelly Marcel, Sue Smith","Author P.L. Travers reflects on her childhood after reluctantly meeting with Walt Disney, who seeks to adapt her Mary Poppins books for the big screen.",ok,35000000,82834332,100734332,35000000,82834332,100734332,65,7.7,Nominated for 1 Oscar. Another 9 wins & 45 nominations.
2013,1,Side Effects,Steven Soderbergh,Scott Z. Burns,A young woman's world unravels when a drug prescribed by her psychiatrist has unexpected side effects.,ok,30000000,32172757,60288363,30000000,32172757,60288363,75,7.1,2 nominations.
2013,1,Star Trek Into Darkness,J.J. Abrams,"Roberto Orci, Alex Kurtzman, Damon Lindelof, Gene Roddenberry (television series ""Star Trek"")","After the crew of the Enterprise find an unstoppable force of terror from within their own organization, Captain Kirk leads a manhunt to a war-zone world to capture a one-man weapon of mass destruction.",notalk,190000000,228778661,466978661,190000000,228778661,466978661,72,7.9,Nominated for 1 Oscar. Another 6 wins & 27 nominations.
2013,1,Texas Chainsaw 3D,John Luessenhop,"Adam Marcus (screenplay), Debra Sullivan (screenplay), Kirsten Elms (screenplay), Stephen Susco (story), Adam Marcus (story), Debra Sullivan (story), Kim Henkel (characters), Tobe Hooper (characters)",A young woman travels to Texas to collect an inheritance; little does she know that an encounter with a chainsaw-wielding killer is part of the reward.,ok,20000000,34341945,39093317,20000000,34341945,39093317,NA,4.8,2 wins & 6 nominations.
2013,1,The Big Wedding,Justin Zackham,"Justin Zackham (screenplay), Jean-Stéphane Bron (motion picture ""Mon frère se marie""), Karine Sudan (motion picture ""Mon frère se marie"")",A long-divorced couple fakes being married as their family unites for a wedding.,ok,32500000,21819348,35770721,32500000,21819348,35770721,28,5.6,3 nominations.
2013,1,The Book Thief,Brian Percival,"Markus Zusak (novel), Michael Petroni (adaptation)","While subjected to the horrors of World War II Germany, young Liesel finds solace by stealing books and sharing them with others. In the basement of her home, a Jewish refugee is being sheltered by her adoptive parents.",ok,19000000,21345525,62045525,19000000,21345525,62045525,53,7.7,Nominated for 1 Oscar. Another 3 wins & 10 nominations.
2013,1,The Call,Brad Anderson,"Richard D'Ovidio (screenplay), Richard D'Ovidio (story), Nicole D'Ovidio (story), Jon Bokenkamp (story)","When a veteran 911 operator takes a life-altering call from a teenage girl who has just been abducted, she realizes that she must confront a killer from her past in order to save the girl's life.",ok,13000000,51872378,58938768,13000000,51872378,58938768,51,6.7,9 nominations.
2013,1,The Conjuring,James Wan,"Chad Hayes, Carey Hayes",Paranormal investigators Ed and Lorraine Warren work to help a family terrorized by a dark presence in their farmhouse.,ok,20000000,137400141,318000141,20000000,137400141,318000141,68,7.6,4 wins & 8 nominations.
2013,1,The Counselor,Ridley Scott,Cormac McCarthy,A lawyer finds himself in over his head when he gets involved in drug trafficking.,ok,25000000,16973715,70373715,25000000,16973715,70373715,48,5.5,2 nominations.
2013,1,The Croods,"Kirk De Micco, Chris Sanders","Chris Sanders (screenplay), Kirk De Micco (screenplay), John Cleese (story), Kirk De Micco (story), Chris Sanders (story)","After their cave is destroyed, a caveman family must trek through an unfamiliar fantastical world with the help of an inventive boy.",men,135000000,187168425,573068425,135000000,187168425,573068425,55,7.3,Nominated for 1 Oscar. Another 5 wins & 24 nominations.
2013,1,The Family,Luc Besson,"Luc Besson (screenplay), Michael Caleo (screenplay), Tonino Benacquista (based on the book by)","The Manzoni family, a notorious mafia clan, is relocated to Normandy, France under the witness protection program, where fitting in soon becomes challenging as their old habits die hard.",men,30000000,36918811,51078541,30000000,36918811,51078541,42,6.4,N/A
2013,1,The Fifth Estate,Bill Condon,"Daniel Domscheit-Berg (book), David Leigh (book), Luke Harding (book), Josh Singer (screenplay)",A dramatic thriller based on real events that reveals the quest to expose the deceptions and corruptions of power that turned an Internet upstart into the 21st century's most fiercely debated organization.,notalk,26000000,3254172,6154172,26000000,3254172,6154172,49,6.1,1 win & 1 nomination.
2013,1,The Frozen Ground,Scott Walker,Scott Walker,An Alaska State Trooper partners with a young woman who escaped the clutches of serial killer Robert Hansen to bring the murderer to justice. Based on actual events.,nowomen,19200000,NA,NA,19200000,NA,NA,37,6.4,1 nomination.
2013,1,The Great Gatsby,Baz Luhrmann,"Baz Luhrmann (screenplay), Craig Pearce (screenplay), F. Scott Fitzgerald (based on the novel by)",A Midwestern war veteran finds himself drawn to the past and lifestyle of his millionaire neighbor.,dubious,190000000,144840419,351040419,190000000,144840419,351040419,55,7.4,Won 2 Oscars. Another 35 wins & 38 nominations.
2013,1,The Hangover part 3,NA,NA,NA,men,103000000,112200072,362000072,103000000,112200072,362000072,NA,NA,NA
2013,1,The Heat,Paul Feig,Katie Dippold,An uptight FBI Special Agent is paired with a foul-mouthed Boston cop to take down a ruthless drug lord.,ok,43000000,159581587,230781587,43000000,159581587,230781587,60,6.7,3 wins & 8 nominations.
2013,1,The Hobbit: The Desolation of Smaug,Peter Jackson,"Fran Walsh (screenplay), Philippa Boyens (screenplay), Peter Jackson (screenplay), Guillermo del Toro (screenplay), J.R.R. Tolkien (novel)","The dwarves, along with Bilbo Baggins and Gandalf the Grey, continue their quest to reclaim Erebor, their homeland, from Smaug. Bilbo Baggins is in possession of a mysterious and magical ring.",notalk,250000000,257397516,937397516,250000000,257397516,937397516,66,8.2,Nominated for 3 Oscars. Another 3 wins & 27 nominations.
2013,1,The Host,Andrew Niccol,"Andrew Niccol (screenplay), Stephenie Meyer (novel)","When an unseen enemy threatens mankind by taking over their bodies and erasing their memories, Melanie will risk everything to protect the people she cares most about, proving that love can conquer all in a dangerous new world.",dubious,50000000,26623701,58188384,50000000,26623701,58188384,35,5.9,1 win & 2 nominations.
2013,1,The Hunger Games: Catching Fire,Francis Lawrence,"Simon Beaufoy (screenplay), Michael Arndt (screenplay), Suzanne Collins (novel)",Katniss Everdeen and Peeta Mellark become targets of the Capitol after their victory in the 74th Hunger Games sparks a rebellion in the Districts of Panem.,ok,130000000,424088260,857088260,130000000,424088260,857088260,75,7.9,Nominated for 1 Golden Globe. Another 6 wins & 15 nominations.
2013,1,The Incredible Burt Wonderstone,Don Scardino,"Jonathan M. Goldstein (screenplay), John Francis Daley (screenplay), Chad Kultgen (story), Tyler Mitchell (story), Jonathan M. Goldstein (story), John Francis Daley (story)","When a street magician's stunts begins to make their show look stale, superstar magicians Burt Wonderstone and Anton Marvelton look to salvage on their act - and their friendship - by staging their own daring stunt.",notalk,32000000,22537881,24255957,32000000,22537881,24255957,44,5.9,1 win & 3 nominations.
2013,1,The Internship,Shawn Levy,"Vince Vaughn (screenplay), Jared Stern (screenplay), Vince Vaughn (story)","Two salesmen whose careers have been torpedoed by the digital age find their way into a coveted internship at Google, where they must compete with a group of young, tech-savvy geniuses for a shot at employment.",notalk,58000000,44672764,93672764,58000000,44672764,93672764,42,6.4,1 nomination.
2013,1,The Last Exorcism Part II,Ed Gass-Donnelly,"Damien Chazelle (screenplay), Ed Gass-Donnelly (screenplay), Damien Chazelle (story), Huck Botko (characters created by), Andrew Gurland (characters created by)","As Nell Sweetzer tries to build a new life after the events of the first movie, the evil force that once possessed her returns with an even more horrific plan.",ok,4000000,15179303,18541236,4000000,15179303,18541236,35,3.9,1 win & 1 nomination.
2013,1,The Lone Ranger,Gore Verbinski,"Justin Haythe (screenplay), Ted Elliott (screenplay), Terry Rossio (screenplay), Ted Elliott (screen story), Terry Rossio (screen story), Justin Haythe (screen story)","Native American warrior Tonto recounts the untold tales that transformed John Reid, a man of the law, into a legend of justice.",notalk,275000000,89289910,259989910,275000000,89289910,259989910,37,6.6,Nominated for 2 Oscars. Another 2 wins & 12 nominations.
2013,1,The Mortal Instruments: City of Bones,Harald Zwart,"Jessica Postigo (screenplay), Cassandra Clare (based on the novel by)","When her mother disappears, Clary Fray learns that she descends from a line of warriors who protect our world from demons. She joins forces with others like her and heads into a dangerous alternate New York called Downworld.",ok,60000000,31165421,75965567,60000000,31165421,75965567,33,6,5 wins & 3 nominations.
2013,1,The Purge,James DeMonaco,James DeMonaco,"In the future, a wealthy family is held hostage for harboring the target of a murderous syndicate during the Purge, a 12-hour period in which any and all crime is legalized.",dubious,3000000,64473115,91100541,3000000,64473115,91100541,41,5.5,2 nominations.
